generation,id,novelty,fitness,species,parent1,parent2
144,72141,20.006939734203137,-0.14723244363753638,3,51408,623
145,72876,19.103108099371617,-0.09551315797547516,4,65976,79
146,73008,26.384417752412343,-0.01467737283409524,2,15774,715
147,73844,20.705658940278067,-0.116701282509629,3,15774,476
148,74284,19.889129802646533,-0.10705354907837777,3,54814,40775
149,74517,54.187047794050905,0.6084148727819811,3,39838,1579
150,75083,18.515692469498692,-0.19594163804808695,2,827,10
151,75584,21.00078333706312,-0.03716803011229176,3,544,214
152,76280,21.735704355475583,-0.1206105863326416,2,9480,355
153,76785,22.688313577366557,0.05342700037656432,2,728,2878
154,77443,21.024499437749103,-0.1059227774789919,3,69924,69924
155,77775,27.208616462293485,0.2615308764020151,5,589,2914
156,78444,22.49858049179313,0.07746988718576261,3,56389,974
157,78721,26.273035583672375,0.1894490740905338,2,12257,719
158,79437,19.70606880077387,-0.008389452317666647,3,480,30704
159,79757,26.67012874001582,0.2159862013139953,3,30704,495
160,80443,40.740211620291575,0.5032650355651431,1,495,49716
161,80878,19.859111114380006,-0.11952753283535293,3,290,2914
162,81251,17.7157680441184,-0.13887893164137854,3,107,426
163,81535,18.116068979318946,-0.29618791844414366,1,31488,799
164,82199,27.11893759048259,0.16791438421738522,3,683,17643
165,82902,20.580817489732816,-0.07819303063284366,3,2878,2722
166,83350,18.862547023144675,-0.09496556969185829,5,94,512
167,83951,20.405274320432213,-0.10154711587438833,2,9480,638
168,84253,21.934469703892887,-0.0581782288442259,3,43507,214
169,84714,27.763747304364372,0.2597824991924456,2,45666,68231
170,85031,19.188984026198902,-0.09478726860243998,3,218,39838
171,85970,50.542486520836285,0.620481956241142,6,81107,7178
172,86255,50.230915454225894,-0.09463916302429162,1,2878,80443
173,86843,21.14510345617363,-0.03694103208157785,4,28631,43507
174,87229,17.84121478479943,-0.21814002440412064,2,24721,37420
175,87686,21.3609258859864,-0.11579867183126391,5,739,61893
176,88255,19.94257969734791,-0.02290083369191889,5,808,74517
177,88830,19.20836479735465,-0.08664334971896863,6,2736,289
178,89269,21.149908746804996,-0.12052763777305114,3,1579,845
179,89673,21.62084889248486,-0.1279663369095248,5,2878,39838
180,90019,20.506203465884923,0.468800356197962,6,62410,84
181,90690,30.133033340282502,-0.1757747870035693,5,85970,229
182,91159,28.347185494376937,0.28244359710242734,5,214,544
183,91688,26.735798272776776,0.17776562865505366,3,124,74517
184,92300,26.396566986761275,0.17404033281441672,2,1491,30788
185,92667,22.623134872487288,-0.1427995117732602,6,3298,15774
186,93234,21.921369885464077,-0.04970735270664804,3,37420,997
187,93872,19.48965791469358,-0.2052937035889078,2,45666,426
188,94123,27.77257347549641,0.22063448741012406,6,172,30704
189,94575,23.68127451432554,0.11148308661038203,2,74517,15774
190,95069,23.79862765856763,0.10964609554752602,6,42,18947
191,95626,19.716272045393293,-0.1836888006215128,3,24137,81107
192,96335,22.33106127408377,0.03961948922949512,5,2878,2016
193,96723,20.356623705881486,-0.11705480447244299,5,68247,18947
194,97365,25.744839206964794,0.13390240474483525,2,90091,42
195,97613,26.203136811608623,0.16108160066840588,5,38297,32267
196,98128,75.80593155539131,0.004084169331047841,4,581,2693
197,98647,24.361248758430754,0.10932973688224726,5,24721,24721
198,99207,26.716133086113505,0.19006667192978513,5,859,30704
199,99951,22.861845479515846,0.07248294918041373,2,138,1101
200,100455,22.723761958718907,-0.12323405465147373,3,3401,1030
201,100857,20.134729042059053,0.4734751995121773,6,255,98128
202,101011,44.72444099158917,-0.02117531194382089,1,49716,1913
203,101636,38.83041760519189,0.06393617979490078,5,80443,74517
204,102115,36.480889222154744,0.5026791312138842,1,68,80443
205,102697,20.504450836124658,-0.12407651128479914,5,90091,290
206,103111,20.076870496658113,-0.041067845414727674,3,276,243
207,103987,25.170647594035735,0.11950267199134305,6,1913,217
208,104331,17.85459494506518,-0.06647526318348526,5,75741,2878
209,104603,26.350589837089622,0.1322846602144443,3,56344,359
210,105056,19.63816558692334,-0.09707176158495358,3,102113,68231
211,105623,22.638464280600612,-0.1538724027869097,5,101,541
212,106048,20.39830201282387,0.130618709996529,5,85827,93789
213,106521,21.82297021578844,0.09935585298992049,1,98128,384
214,107272,22.294865384097324,-0.1254021587428972,5,86255,1030
215,107826,18.941483493954888,-0.12825070609873898,5,23547,74517
216,108096,19.472134109152552,-0.20730840288826688,2,24721,1030
217,108739,19.673588145135785,-0.016932743563472567,6,56344,1257
218,109156,61.4257571213931,-0.02182431961947945,5,359,98128
219,109704,27.379431661251843,0.2548996116185414,5,271,30704
220,110231,20.58536058586035,-0.06454126478946384,5,4563,410
221,110991,18.13744607316253,-0.04747800258804152,5,541,4563
222,111283,24.264072017823825,0.09866269612897109,4,1267,1184
